hfa_reduction,ecdf,min_pts,mean_pts,median_pts
0,0.049,5,20.4733,20
0.05,0.0522,3,20.4142,20
0.1,0.0561,5,20.1713,20
0.15000000000000002,0.0624,6,19.9956,20
0.2,0.0722,5,19.6873,20
0.25,0.0734,4,19.6019,20
0.30000000000000004,0.0831,4,19.3118,19
0.35000000000000003,0.0914,4,19.1667,19
0.4,0.1025,5,18.9686,19
0.45,0.1047,4,18.8383,19
0.5,0.1114,4,18.6686,19
0.55,0.119,2,18.4969,18
0.6000000000000001,0.1316,4,18.2555,18
0.65,0.1332,3,18.1507,18
0.7000000000000001,0.1472,3,17.97,18
0.75,0.1611,2,17.7536,18
0.8,0.1682,1,17.604,18
0.8500000000000001,0.1799,2,17.3853,17
0.9,0.1915,2,17.2334,17
0.9500000000000001,0.1965,3,17.1241,17
1,0.211,2,16.9579,17
