hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0,51,68,102,85.1189,85
0.05,0,50,67.97500000000002,101,84.4891,84
0.1,0,54,67,101,83.8325,84
0.15000000000000002,0,51,67,100,83.1306,83
0.2,1e-4,48,66,100,82.5319,82
0.25,0,51,65,99,81.8464,82
0.30000000000000004,1e-4,48,64,98,81.2344,81
0.35000000000000003,2e-4,48,63,97,80.3784,80
0.4,1e-4,44,63,97,79.8543,80
0.45,1e-4,45,62,96,79.1216,79
0.5,2e-4,46,61.97500000000002,96,78.5019,78
0.55,1e-4,48,61,95,77.8723,78
0.6000000000000001,1e-4,48,60,94,77.1006,77
0.65,4e-4,47,60,94,76.3328,76
0.7000000000000001,4e-4,45,59,93,75.9011,76
0.75,8e-4,47,59,92,75.2735,75
0.8,0.0014,44,58,91,74.4169,74
0.8500000000000001,0.0015,40,57,90,73.7642,74
0.9,9e-4,43,56,90,73.1009,73
0.9500000000000001,0.0015,43,56,90,72.4919,72
1,0.0027,42,55,89,72.0088,72
