hfa_reduction,ecdf,min_pts,mean_pts,median_pts
0,0.1451,1,10.5869,11
0.05,0.1512,0,10.529,10
0.1,0.1499,1,10.5246,10
0.15000000000000002,0.1604,0,10.4154,10
0.2,0.1755,1,10.2636,10
0.25,0.175,1,10.2436,10
0.30000000000000004,0.1784,1,10.2119,10
0.35000000000000003,0.1865,0,10.1178,10
0.4,0.1986,1,10.0532,10
0.45,0.1941,0,10.0173,10
0.5,0.2098,0,9.8976,10
0.55,0.2155,0,9.8615,10
0.6000000000000001,0.2193,1,9.7876,10
0.65,0.2318,1,9.7313,10
0.7000000000000001,0.2346,1,9.6434,10
0.75,0.2414,0,9.6022,10
0.8,0.2411,0,9.6142,10
0.8500000000000001,0.2549,0,9.4581,9
0.9,0.2625,1,9.3894,9
0.9500000000000001,0.279,0,9.2833,9
1,0.2775,0,9.2835,9
