hfa_reduction,ecdf,min_pts,mean_pts,median_pts
0,0.7776,24,50.8895,51
0.05,0.7835,25,50.579,51
0.1,0.8021,21,50.1655,50
0.15000000000000002,0.8098,22,49.9617,50
0.2,0.8281,21,49.4607,49
0.25,0.832,22,49.3446,49
0.30000000000000004,0.8437,18,48.9449,49
0.35000000000000003,0.8527,20,48.6919,49
0.4,0.8759,21,48.1234,48
0.45,0.8748,21,48.006,48
0.5,0.8874,22,47.6443,48
0.55,0.8949,22,47.2257,47
0.6000000000000001,0.9002,20,46.9994,47
0.65,0.9067,21,46.7325,47
0.7000000000000001,0.9155,19,46.3045,46
0.75,0.9184,21,46.0852,46
0.8,0.9267,22,45.7443,46
0.8500000000000001,0.9292,21,45.6055,46
0.9,0.9397,21,45.113,45
0.9500000000000001,0.9423,17,44.9066,45
1,0.9482,21,44.6222,44
