hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.8386,7,17,36,26.4498,26
0.05,0.8409,9,17,36,26.4021,26
0.1,0.8609,8,17,36,26.0501,26
0.15000000000000002,0.869,9,16,36,25.8417,26
0.2,0.877,8,16,35,25.6335,26
0.25,0.881,9,16,35,25.5111,26
0.30000000000000004,0.8935,8,15,35,25.3286,25
0.35000000000000003,0.899,6,16,35,25.0891,25
0.4,0.907,8,15,35,24.8642,25
0.45,0.9185,5,15,34,24.4816,24
0.5,0.9174,6,15,34,24.4199,24
0.55,0.9288,5,15,34,24.1977,24
0.6000000000000001,0.9349,4,15,34,24.0126,24
0.65,0.9344,7,14,34,23.8117,24
0.7000000000000001,0.9432,5,14,33,23.5519,24
0.75,0.9475,7,14,33,23.3756,23
0.8,0.9522,6,14,33,23.1838,23
0.8500000000000001,0.9541,6,13,33,23.0169,23
0.9,0.9594,5,13,33,22.686,23
0.9500000000000001,0.9632,6,13,32,22.5885,23
1,0.9644,6,13,32,22.349,22
