hfa_reduction,ecdf,min_pts,mean_pts,median_pts
0,1e-4,33,59.5675,60
0.05,4e-4,32,58.9314,59
0.1,3e-4,31,58.3856,59
0.15000000000000002,3e-4,31,58.0761,58
0.2,5e-4,27,57.5071,57
0.25,0.0013,30,56.893,57
0.30000000000000004,7e-4,26,56.3129,56
0.35000000000000003,7e-4,25,55.8876,56
0.4,0.0016,26,55.3324,55
0.45,0.0018,27,54.853,55
0.5,0.0035,25,54.427,54
0.55,0.0031,23,53.8949,54
0.6000000000000001,0.0039,25,53.4792,53
0.65,0.004,23,52.972,53
0.7000000000000001,0.0052,24,52.5625,53
0.75,0.0051,26,52.1743,52
0.8,0.0065,25,51.4452,51
0.8500000000000001,0.0102,23,51.1108,51
0.9,0.0124,24,50.6123,51
0.9500000000000001,0.0152,24,50.0767,50
1,0.0143,22,49.7457,50
